iso3,window_end,y,split
TUN,2022-03-01,0,test
TUN,2022-04-01,0,test
TUN,2022-05-01,0,test
TUN,2022-06-01,0,test
TUN,2022-07-01,0,test
TUN,2022-08-01,0,test
TUN,2022-09-01,0,test
TUN,2022-10-01,0,test
TUN,2022-11-01,0,test
TUN,2022-12-01,0,test
TUN,2023-01-01,0,test
TUN,2023-02-01,0,test
TUN,2023-03-01,0,test
TUN,2023-04-01,0,test
TUN,2023-05-01,0,test
TUN,2023-06-01,0,test
TUN,2023-07-01,0,test
TUN,2023-08-01,0,test
TUN,2023-09-01,0,test
TUN,2023-10-01,0,test
TUN,2023-11-01,0,test
TUN,2023-12-01,0,test
TUN,2024-01-01,0,test
TUN,2024-02-01,0,test
TUN,2024-03-01,0,test
TUN,2024-04-01,0,test
TUN,2024-05-01,0,test
TUN,2024-06-01,0,test
TUN,2024-07-01,0,test
TUN,2024-08-01,0,test
TUN,2024-09-01,0,test
TUN,2024-10-01,0,test
TUN,2024-11-01,0,test
TUN,2024-12-01,0,test
TUR,2022-01-01,0,test
TUR,2022-02-01,0,test
TUR,2022-03-01,0,test
TUR,2022-04-01,0,test
TUR,2022-05-01,0,test
TUR,2022-06-01,0,test
TUR,2022-07-01,0,test
TUR,2022-08-01,0,test
TUR,2022-09-01,0,test
TUR,2022-10-01,0,test
TUR,2022-11-01,0,test
TUR,2022-12-01,0,test
TUR,2023-01-01,0,test
TUR,2023-02-01,0,test
TUR,2023-03-01,0,test
TUR,2023-04-01,0,test
TUR,2023-05-01,0,test
TUR,2023-06-01,0,test
TUR,2023-07-01,0,test
TUR,2023-08-01,0,test
TUR,2023-09-01,0,test
TUR,2023-10-01,0,test
TUR,2023-11-01,0,test
TUR,2023-12-01,0,test
TUR,2024-01-01,0,test
TUR,2024-02-01,0,test
TUR,2024-03-01,0,test
TUR,2024-04-01,0,test
TUR,2024-05-01,0,test
TUR,2024-06-01,0,test
TUR,2024-07-01,0,test
TUR,2024-08-01,0,test
TUR,2024-09-01,0,test
TUR,2024-10-01,0,test
TUR,2024-11-01,0,test
TUR,2024-12-01,0,test
UKR,2022-01-01,0,test
UKR,2022-02-01,0,test
UKR,2022-03-01,0,test
UKR,2022-04-01,0,test
UKR,2022-05-01,0,test
UKR,2022-06-01,0,test
UKR,2022-07-01,0,test
UKR,2022-08-01,0,test
UKR,2022-09-01,0,test
UKR,2022-10-01,0,test
UKR,2022-11-01,0,test
UKR,2022-12-01,0,test
UKR,2023-01-01,0,test
UKR,2023-02-01,0,test
UKR,2023-03-01,0,test
UKR,2023-04-01,0,test
UKR,2023-05-01,0,test
UKR,2023-06-01,0,test
UKR,2023-07-01,0,test
UKR,2023-08-01,0,test
UKR,2023-09-01,0,test
UKR,2023-10-01,0,test
UKR,2023-11-01,0,test
UKR,2023-12-01,0,test
UKR,2024-01-01,0,test
UKR,2024-02-01,0,test
UKR,2024-03-01,0,test
UKR,2024-04-01,0,test
UKR,2024-05-01,0,test
UKR,2024-06-01,0,test
UKR,2024-07-01,0,test
UKR,2024-08-01,0,test
UKR,2024-09-01,0,test
UKR,2024-10-01,0,test
UKR,2024-11-01,0,test
UKR,2024-12-01,0,test
VEN,2022-01-01,0,test
VEN,2022-02-01,0,test
VEN,2022-03-01,0,test
VEN,2022-04-01,0,test
VEN,2022-05-01,0,test
VEN,2022-06-01,0,test
VEN,2022-07-01,0,test
VEN,2022-08-01,0,test
VEN,2022-09-01,0,test
VEN,2022-10-01,0,test
VEN,2022-11-01,0,test
VEN,2022-12-01,0,test
VEN,2023-01-01,0,test
VEN,2023-02-01,0,test
VEN,2023-03-01,0,test
VEN,2023-04-01,0,test
VEN,2023-05-01,0,test
VEN,2023-06-01,0,test
VEN,2023-07-01,0,test
VEN,2023-08-01,0,test
VEN,2023-09-01,0,test
VEN,2023-10-01,0,test
VEN,2023-11-01,0,test
VEN,2023-12-01,0,test
VEN,2024-01-01,0,test
VEN,2024-02-01,0,test
VEN,2024-03-01,0,test
VEN,2024-04-01,0,test
VEN,2024-05-01,0,test
VEN,2024-06-01,0,test
VEN,2024-07-01,0,test
VEN,2024-08-01,0,test
VEN,2024-09-01,0,test
VEN,2024-10-01,0,test
VEN,2024-11-01,0,test
VEN,2024-12-01,0,test
ZAF,2022-01-01,0,test
ZAF,2022-02-01,0,test
ZAF,2022-03-01,0,test
ZAF,2022-04-01,0,test
ZAF,2022-05-01,0,test
ZAF,2022-06-01,0,test
ZAF,2022-07-01,0,test
ZAF,2022-08-01,0,test
ZAF,2022-09-01,0,test
ZAF,2022-10-01,0,test
ZAF,2022-11-01,0,test
ZAF,2022-12-01,0,test
ZAF,2023-01-01,0,test
ZAF,2023-02-01,0,test
ZAF,2023-03-01,0,test
ZAF,2023-04-01,0,test
ZAF,2023-05-01,0,test
ZAF,2023-06-01,0,test
ZAF,2023-07-01,0,test
ZAF,2023-08-01,0,test
ZAF,2023-09-01,0,test
ZAF,2023-10-01,0,test
ZAF,2023-11-01,0,test
ZAF,2023-12-01,0,test
ZAF,2024-01-01,0,test
ZAF,2024-02-01,0,test
ZAF,2024-03-01,0,test
ZAF,2024-04-01,0,test
ZAF,2024-05-01,0,test
ZAF,2024-06-01,0,test
ZAF,2024-07-01,0,test
ZAF,2024-08-01,0,test
ZAF,2024-09-01,0,test
ZAF,2024-10-01,0,test
ZAF,2024-11-01,0,test
ZAF,2024-12-01,0,test
ZMB,2022-01-01,0,test
ZMB,2022-02-01,0,test
ZMB,2022-03-01,0,test
ZMB,2022-04-01,0,test
ZMB,2022-05-01,0,test
ZMB,2022-06-01,0,test
ZMB,2022-07-01,0,test
ZMB,2022-08-01,0,test
ZMB,2022-09-01,0,test
ZMB,2022-10-01,0,test
ZMB,2022-11-01,0,test
ZMB,2022-12-01,0,test
ZMB,2023-01-01,0,test
ZMB,2023-02-01,0,test
ZMB,2023-03-01,0,test
ZMB,2023-04-01,0,test
ZMB,2023-05-01,0,test
ZMB,2023-06-01,0,test
ZMB,2023-07-01,0,test
ZMB,2023-08-01,0,test
ZMB,2023-09-01,0,test
ZMB,2023-10-01,0,test
ZMB,2023-11-01,0,test
ZMB,2023-12-01,0,test
ZMB,2024-01-01,0,test
ZMB,2024-02-01,0,test
ZMB,2024-03-01,0,test
ZMB,2024-04-01,0,test
ZMB,2024-05-01,0,test
ZMB,2024-06-01,0,test
ZMB,2024-07-01,0,test
ZMB,2024-08-01,0,test
ZMB,2024-09-01,0,test
ZMB,2024-10-01,0,test
ZMB,2024-11-01,0,test
ZMB,2024-12-01,0,test
